building_type,price,construction_Year,building_condition,heating_Type,bedroom,province
house,520000,1978,good,gas,3,Antwerp
house,385000,1952,justrenovated,gas,3,Antwerp
house,499000,2005,torenovate,gas,4,Antwerp
house,320000,1970,torenovate,fueloil,3,Antwerp
apartment,150000,1961,good,gas,2,Antwerp
house,499000,1999,good,gas,3,Antwerp
house,269000,1900,justrenovated,gas,2,Antwerp
apartment,184000,1973,good,gas,2,Antwerp
house,219000,1941,torenovate,gas,3,Antwerp
apartment,269000,1959,good,gas,2,Antwerp
apartment,275000,1995,good,gas,3,Antwerp
house,335000,1930,justrenovated,gas,2,Antwerp
apartment,275000,1950,good,gas,2,Antwerp
apartment,279000,1991,good,gas,2,Antwerp
apartment,329900,1968,justrenovated,gas,4,Antwerp
apartment,299000,1991,good,gas,2,Antwerp
apartment,299000,2014,justrenovated,gas,1,Antwerp
apartment,270000,2005,good,gas,1,Antwerp
apartment,299000,1974,good,gas,2,Antwerp
house,589000,2011,justrenovated,gas,4,Antwerp
house,449000,1961,justrenovated,fueloil,4,Antwerp
apartment,365000,2014,justrenovated,gas,2,Antwerp
apartment,365000,2014,justrenovated,gas,2,Antwerp
apartment,275000,1975,good,gas,2,Antwerp
apartment,275000,2005,good,gas,2,Antwerp
apartment,299000,1997,justrenovated,gas,3,Antwerp
apartment,224750,2021,justrenovated,gas,1,Antwerp
house,394500,1969,good,gas,4,Antwerp
apartment,239000,1992,good,electric,2,Antwerp
house,377000,1966,good,gas,3,Antwerp
house,520000,1907,good,gas,3,Antwerp
apartment,289000,2018,justrenovated,gas,2,Antwerp
house,449000,2013,justrenovated,electric,3,Antwerp
house,375000,1955,justrenovated,gas,2,Antwerp
house,650000,1983,justrenovated,gas,4,Antwerp
house,350000,1965,torenovate,fueloil,3,Antwerp
apartment,263550,2020,justrenovated,gas,1,Antwerp
apartment,564000,2017,good,gas,2,Antwerp
apartment,590000,2023,justrenovated,gas,2,Antwerp
apartment,425000,2023,justrenovated,gas,2,Antwerp
apartment,420000,2023,justrenovated,gas,2,Antwerp
apartment,419000,1957,good,gas,4,Antwerp
house,429000,2019,good,gas,3,Antwerp
apartment,279000,1962,justrenovated,gas,2,Antwerp
house,475000,1993,good,fueloil,3,Antwerp
house,350000,1949,good,gas,3,Antwerp
