building_type,price,zip,kitchen_type,construction_Year,building_condition,heating_type,bedroom,province
house,349000,2223,installed,1994,torenovate,fueloil,3,Antwerp
apartment,160000,2140,semiequipped,1973,torenovate,gas,2,Antwerp
house,399000,2580,installed,1972,good,fueloil,4,Antwerp
house,320000,2800,semiequipped,1973,torenovate,gas,2,Antwerp
house,359000,2180,installed,1965,justrenovated,gas,3,Antwerp
house,235000,2100,installed,1927,torenovate,gas,3,Antwerp
house,475000,2910,semiequipped,1993,good,gas,3,Antwerp
house,385000,2812,installed,1952,justrenovated,gas,3,Antwerp
house,469000,2860,installed,1960,justrenovated,gas,4,Antwerp
house,285000,2850,installed,1966,justrenovated,gas,3,Antwerp
house,305000,2340,installed,1967,torenovate,fueloil,3,Antwerp
house,429000,2100,installed,2019,good,gas,3,Antwerp
house,749000,2235,installed,2011,justrenovated,gas,4,Antwerp
apartment,255000,2610,semiequipped,1979,good,gas,2,Antwerp
house,519000,2800,installed,1957,torenovate,gas,3,Antwerp
house,335000,2500,installed,1930,justrenovated,gas,2,Antwerp
house,249000,2880,installed,1918,good,gas,3,Antwerp
apartment,299000,2610,installed,1994,justrenovated,gas,3,Antwerp
house,309000,2500,installed,1969,good,gas,3,Antwerp
house,325000,2660,semiequipped,1966,good,gas,2,Antwerp
apartment,249000,2640,installed,1972,good,gas,2,Antwerp
apartment,184000,2140,hyperequipped,1973,good,gas,2,Antwerp
house,339000,2200,semiequipped,1957,torenovate,fueloil,4,Antwerp
house,285000,2020,installed,1950,good,gas,2,Antwerp
house,325000,2880,hyperequipped,1920,good,electric,4,Antwerp
house,449000,2170,installed,1938,good,gas,5,Antwerp
apartment,150000,2830,semiequipped,1961,good,gas,2,Antwerp
house,329000,2560,semiequipped,1955,torenovate,gas,3,Antwerp
house,259000,2110,installed,1949,torenovate,gas,2,Antwerp
apartment,250000,2610,installed,1958,good,gas,1,Antwerp
house,255000,2850,hyperequipped,1918,torenovate,gas,4,Antwerp
house,269000,2530,installed,1900,justrenovated,gas,2,Antwerp
house,498000,2830,hyperequipped,2005,good,gas,3,Antwerp
house,380000,2100,installed,1969,good,fueloil,4,Antwerp
house,369000,2040,hyperequipped,1970,justrenovated,gas,4,Antwerp
house,369000,2880,installed,1958,good,gas,5,Antwerp
house,399000,2580,semiequipped,1994,good,gas,3,Antwerp
house,425000,2960,installed,1992,torenovate,electric,2,Antwerp
house,448000,2860,semiequipped,1965,good,gas,3,Antwerp
house,335000,2200,installed,2022,justrenovated,gas,3,Antwerp
apartment,229000,2060,installed,1950,justrenovated,gas,1,Antwerp
house,415000,2830,installed,1977,good,gas,4,Antwerp
house,255000,2830,installed,1957,torenovate,gas,4,Antwerp
house,452000,2800,installed,1976,good,gas,4,Antwerp
house,429000,2940,semiequipped,1977,good,gas,3,Antwerp
house,299000,2890,installed,1950,torenovate,gas,3,Antwerp
apartment,400000,2620,installed,1995,good,gas,2,Antwerp
apartment,275000,2930,semiequipped,2013,good,gas,1,Antwerp
house,335000,2830,installed,1951,good,gas,3,Antwerp
apartment,275000,2500,semiequipped,2018,justrenovated,gas,2,Antwerp
house,595000,2920,installed,1998,good,gas,4,Antwerp
apartment,350000,2870,installed,2017,good,gas,3,Antwerp
apartment,169000,2100,semiequipped,1969,good,gas,2,Antwerp
house,295000,2660,semiequipped,1947,torenovate,gas,3,Antwerp
apartment,365000,2830,installed,2022,good,gas,2,Antwerp
house,399000,2830,hyperequipped,1965,torenovate,gas,4,Antwerp
apartment,220000,2600,installed,1972,good,gas,2,Antwerp
apartment,279000,2630,installed,1979,good,gas,2,Antwerp
house,325000,2040,semiequipped,1970,good,gas,5,Antwerp
house,389000,2630,hyperequipped,1985,good,gas,3,Antwerp
house,359000,2300,installed,1956,justrenovated,gas,5,Antwerp
house,495000,2630,semiequipped,1962,good,gas,3,Antwerp
apartment,214000,2940,hyperequipped,1970,justrenovated,gas,1,Antwerp
apartment,335000,2830,installed,2022,good,gas,2,Antwerp
house,449000,2400,hyperequipped,1961,justrenovated,fueloil,4,Antwerp
house,589000,2950,hyperequipped,2011,justrenovated,gas,4,Antwerp
apartment,330000,2830,installed,2022,good,gas,2,Antwerp
apartment,329000,2600,installed,1967,good,gas,2,Antwerp
house,359000,2180,installed,1970,good,gas,3,Antwerp
house,299000,2830,hyperequipped,1936,torenovate,gas,4,Antwerp
